CustomerName,CustomerID,FoodItemID,Quantity,OrderDate
Vinodh,1,131,1,01-Feb-26
Vinodh,1,275,1,05-Mar-26
Vinodh,1,105,2,10-Mar-26
Vinodh,1,258,3,08-Mar-26
Gemini Mowa,2,438,1,04-Mar-26
Gemini Mowa,2,204,3,20-Mar-26
Gemini Mowa,2,352,2,04-Jan-26
Gemini Mowa,2,240,1,10-Jan-26
Gemini Mowa,2,178,1,28-Apr-26
Satish Chowdary 99,3,127,2,17-Jan-26
Satish Chowdary 99,3,228,4,11-Jan-26
Satish Chowdary 99,3,278,2,06-Jan-26
Satish Chowdary 99,3,385,2,02-Apr-26
Satish Chowdary 99,3,194,2,21-Apr-26
Ramesh Chowdary 56,4,387,2,15-Jan-26
Ramesh Chowdary 56,4,375,1,17-Feb-26
Ramesh Chowdary 56,4,315,4,31-Mar-26
Ramesh Chowdary 56,4,274,1,28-Apr-26
Ramesh Chowdary 56,4,347,4,27-Feb-26
Satish Rao 26,5,110,1,30-Mar-26
Satish Rao 26,5,386,4,06-Jan-26
Satish Rao 26,5,335,3,05-Apr-26
Satish Rao 26,5,405,4,16-Jan-26
Satish Rao 26,5,319,3,15-Apr-26
Satish Rao 26,5,381,4,26-Mar-26
Surya Teja 27,6,413,4,24-Jan-26
Surya Teja 27,6,401,2,19-Jan-26
Surya Teja 27,6,235,1,05-Mar-26
Nithin Verma 87,7,233,1,21-Mar-26
Nithin Verma 87,7,369,3,04-Jan-26
Nithin Verma 87,7,285,2,01-Apr-26
Nithin Verma 87,7,289,2,03-Apr-26
Nithin Verma 87,7,367,1,23-Feb-26
Nithin Verma 87,7,239,4,20-Mar-26
Suresh Kumar 23,8,321,2,25-Mar-26
Suresh Kumar 23,8,239,1,13-Feb-26
Suresh Kumar 23,8,318,1,08-Apr-26
Pavan Reddy 14,9,355,4,06-Mar-26
Pavan Reddy 14,9,260,2,24-Feb-26
Pavan Reddy 14,9,264,3,25-Feb-26
Pavan Reddy 14,9,116,3,06-Apr-26
Pavan Reddy 14,9,197,3,10-Mar-26
Pavan Goud 61,10,200,4,15-Feb-26
Pavan Goud 61,10,207,2,07-Jan-26
Pavan Goud 61,10,264,2,15-Apr-26
Pavan Goud 61,10,261,2,24-Jan-26
Pavan Goud 61,10,250,2,14-Feb-26
Pavan Goud 61,10,137,4,21-Jan-26
Vijay Naidu 39,11,263,2,02-Feb-26
Vijay Naidu 39,11,314,1,26-Jan-26
Vijay Naidu 39,11,293,2,08-Jan-26
Vijay Naidu 39,11,373,1,07-Mar-26
Vijay Naidu 39,11,261,3,26-Jan-26
Vijay Naidu 39,11,140,4,11-Jan-26
Suresh Verma 49,12,151,2,02-Apr-26
Suresh Verma 49,12,110,2,05-Feb-26
Suresh Verma 49,12,440,1,01-Apr-26
Suresh Verma 49,12,228,3,14-Jan-26
Suresh Verma 49,12,327,1,21-Jan-26
Vikram Naidu 35,13,299,3,01-Apr-26
Vikram Naidu 35,13,422,4,24-Feb-26
Vikram Naidu 35,13,370,1,20-Feb-26
Vikram Naidu 35,13,179,3,18-Mar-26
Vikram Naidu 35,13,380,2,23-Mar-26
Vikram Naidu 35,13,140,2,19-Apr-26
Pavan Sharma 62,14,359,4,24-Feb-26
Pavan Sharma 62,14,376,1,09-Feb-26
Pavan Sharma 62,14,101,1,17-Feb-26
Pavan Sharma 62,14,127,2,26-Apr-26
Arjun Yadav 76,15,170,3,07-Jan-26
Arjun Yadav 76,15,339,3,06-Jan-26
Arjun Yadav 76,15,373,4,24-Feb-26
Arjun Yadav 76,15,141,1,16-Feb-26
Arjun Verma 35,16,202,1,17-Mar-26
Arjun Verma 35,16,187,4,21-Jan-26
Arjun Verma 35,16,212,3,18-Feb-26
Suresh Sharma 83,17,147,3,03-Feb-26
Suresh Sharma 83,17,123,4,03-Mar-26
Suresh Sharma 83,17,268,1,28-Mar-26
Suresh Sharma 83,17,172,4,17-Jan-26
Suresh Sharma 83,17,305,4,20-Mar-26
Suresh Sharma 83,17,309,2,28-Jan-26
Surya Naidu 87,18,352,1,26-Mar-26
Surya Naidu 87,18,405,3,15-Feb-26
Surya Naidu 87,18,278,1,12-Apr-26
Mahesh Yadav 23,19,224,1,05-Mar-26
Mahesh Yadav 23,19,198,1,30-Mar-26
Mahesh Yadav 23,19,345,4,21-Jan-26
Mahesh Yadav 23,19,295,2,18-Jan-26
Mahesh Yadav 23,19,282,2,21-Apr-26
Mahesh Yadav 23,19,286,1,25-Jan-26
Arjun Reddy 29,20,118,2,12-Apr-26
Arjun Reddy 29,20,381,1,10-Feb-26
Arjun Reddy 29,20,196,3,10-Feb-26
Suresh Naidu 94,21,282,3,18-Jan-26
Suresh Naidu 94,21,227,3,29-Jan-26
Suresh Naidu 94,21,137,2,23-Mar-26
Suresh Naidu 94,21,148,4,22-Jan-26
Arjun Verma 56,22,332,2,03-Mar-26
Arjun Verma 56,22,271,4,28-Mar-26
Arjun Verma 56,22,303,4,26-Feb-26
Arjun Verma 56,22,300,4,18-Jan-26
Arjun Verma 56,22,447,1,25-Apr-26
Anil Goud 56,23,398,1,28-Feb-26
Anil Goud 56,23,257,2,02-Jan-26
Anil Goud 56,23,400,4,22-Jan-26
Anil Goud 56,23,141,4,24-Apr-26
Anil Goud 56,23,112,2,17-Mar-26
Rahul Teja 91,24,444,2,17-Feb-26
Rahul Teja 91,24,152,4,23-Apr-26
Rahul Teja 91,24,342,4,07-Feb-26
Rahul Teja 91,24,103,3,11-Jan-26
Kalyan Teja 23,25,398,3,29-Jan-26
Kalyan Teja 23,25,171,2,07-Apr-26
Kalyan Teja 23,25,404,3,21-Feb-26
Kalyan Teja 23,25,141,4,13-Mar-26
Vamshi Yadav 47,26,202,2,08-Mar-26
Vamshi Yadav 47,26,150,1,14-Mar-26
Vamshi Yadav 47,26,216,3,11-Apr-26
Vamshi Yadav 47,26,438,4,16-Apr-26
Vamshi Yadav 47,26,364,4,10-Jan-26
Vinodh Goud 51,27,172,1,06-Mar-26
Vinodh Goud 51,27,215,2,25-Apr-26
Vinodh Goud 51,27,243,2,30-Mar-26
Vinodh Goud 51,27,321,4,05-Apr-26
Vinodh Goud 51,27,104,3,24-Feb-26
Rahul Sharma 43,28,329,3,07-Feb-26
Rahul Sharma 43,28,319,4,21-Feb-26
Rahul Sharma 43,28,333,4,27-Jan-26
Rahul Sharma 43,28,253,1,07-Apr-26
Nithin Naidu 12,29,172,2,10-Apr-26
Nithin Naidu 12,29,444,4,14-Mar-26
Nithin Naidu 12,29,237,4,06-Jan-26
Nithin Naidu 12,29,184,1,12-Mar-26
Nithin Naidu 12,29,154,4,24-Jan-26
Nithin Naidu 12,29,114,3,01-Feb-26
Arjun Goud 65,30,206,3,06-Feb-26
Arjun Goud 65,30,257,2,23-Mar-26
Arjun Goud 65,30,259,2,08-Mar-26
Arjun Goud 65,30,306,3,02-Jan-26
Sanjay Goud 80,31,207,2,09-Apr-26
Sanjay Goud 80,31,410,3,19-Jan-26
Sanjay Goud 80,31,334,2,05-Feb-26
Sanjay Goud 80,31,412,3,17-Apr-26
Sanjay Goud 80,31,448,3,09-Jan-26
Sanjay Goud 80,31,296,2,30-Apr-26
Ravi Sharma 27,32,307,3,29-Jan-26
Ravi Sharma 27,32,158,1,20-Jan-26
Ravi Sharma 27,32,137,1,21-Feb-26
Pavan Verma 39,33,355,1,30-Jan-26
Pavan Verma 39,33,228,4,05-Feb-26
Pavan Verma 39,33,375,4,05-Apr-26
Pavan Verma 39,33,134,3,22-Jan-26
Suresh Yadav 99,34,442,4,07-Jan-26
Suresh Yadav 99,34,392,1,27-Apr-26
Suresh Yadav 99,34,404,4,20-Feb-26
